finetune_split,pretrain_id,finetune_id,same_id,labels_equal,pretrain_cache,finetune_cache
train,00010483,00012316,false,false,data/cache/features/pretrain/00010483_3ca825fac3.npz,data/cache/features/finetune/train/00012316_95dd075881.npz
train,00012823,00012828,false,false,data/cache/features/pretrain/00012823_b33170e228.npz,data/cache/features/finetune/train/00012828_eb2c1b1935.npz
train,00008923,00014729,false,false,data/cache/features/pretrain/00008923_4610ae1e58.npz,data/cache/features/finetune/train/00014729_1742071400.npz
train,00009943,00017862,false,false,data/cache/features/pretrain/00009943_9d8c0465d9.npz,data/cache/features/finetune/train/00017862_c198add63c.npz
train,00017604,00017863,false,false,data/cache/features/pretrain/00017604_0ac3d79ab3.npz,data/cache/features/finetune/train/00017863_2e876f6686.npz
train,00023391,00023391,true,false,data/cache/features/pretrain/00023391_858aaf6519.npz,data/cache/features/finetune/train/00023391_858aaf6519.npz
train,00024825,00024825,true,false,data/cache/features/pretrain/00024825_7c355204b0.npz,data/cache/features/finetune/train/00024825_7c355204b0.npz
train,00009938,00029679,false,false,data/cache/features/pretrain/00009938_e86843cfbd.npz,data/cache/features/finetune/train/00029679_c4e37e8692.npz
train,00010482,00030022,false,false,data/cache/features/pretrain/00010482_698b688e42.npz,data/cache/features/finetune/train/00030022_27f9fcef09.npz
train,00000764,00032987,false,false,data/cache/features/pretrain/00000764_c9f3ee9b5c.npz,data/cache/features/finetune/train/00032987_0a11d5d51c.npz
train,00032174,00033471,false,true,data/cache/features/pretrain/00032174_f2962f9cbb.npz,data/cache/features/finetune/train/00033471_6f928c7fa5.npz
train,00038780,00038780,true,false,data/cache/features/pretrain/00038780_90cf1df6e7.npz,data/cache/features/finetune/train/00038780_90cf1df6e7.npz
train,00038780,00038939,false,false,data/cache/features/pretrain/00038780_90cf1df6e7.npz,data/cache/features/finetune/train/00038939_ddf51ff708.npz
train,00009904,00048386,false,false,data/cache/features/pretrain/00009904_5efd6e559e.npz,data/cache/features/finetune/train/00048386_e05f5c5efe.npz
train,00028059,00048417,false,false,data/cache/features/pretrain/00028059_5081da9581.npz,data/cache/features/finetune/train/00048417_914837c88f.npz
train,00051629,00051630,false,true,data/cache/features/pretrain/00051629_16a86db651.npz,data/cache/features/finetune/train/00051630_69470e85c7.npz
train,00009891,00051729,false,false,data/cache/features/pretrain/00009891_f508270328.npz,data/cache/features/finetune/train/00051729_9a2943ae1c.npz
train,00037012,00052066,false,false,data/cache/features/pretrain/00037012_78be1ea39f.npz,data/cache/features/finetune/train/00052066_8c302fd702.npz
train,00038813,00052310,false,false,data/cache/features/pretrain/00038813_bd522badd1.npz,data/cache/features/finetune/train/00052310_cf608034a0.npz
train,00009904,00054159,false,false,data/cache/features/pretrain/00009904_5efd6e559e.npz,data/cache/features/finetune/train/00054159_271fec5f69.npz
train,00055008,00055008,true,true,data/cache/features/pretrain/00055008_69d80e3784.npz,data/cache/features/finetune/train/00055008_69d80e3784.npz
train,00031750,00056035,false,false,data/cache/features/pretrain/00031750_1bc918826d.npz,data/cache/features/finetune/train/00056035_35a3d5e04d.npz
train,00010569,00059875,false,false,data/cache/features/pretrain/00010569_7423048a06.npz,data/cache/features/finetune/train/00059875_c84ee2f990.npz
train,00031753,00064846,false,false,data/cache/features/pretrain/00031753_0991d57a04.npz,data/cache/features/finetune/train/00064846_321a5a9434.npz
train,00064912,00064912,true,false,data/cache/features/pretrain/00064912_045cbaff46.npz,data/cache/features/finetune/train/00064912_045cbaff46.npz
train,00063220,00066909,false,true,data/cache/features/pretrain/00063220_0f72db7986.npz,data/cache/features/finetune/train/00066909_a1e77304b6.npz
train,00066066,00067551,false,true,data/cache/features/pretrain/00066066_4ea1743e61.npz,data/cache/features/finetune/train/00067551_634763b95c.npz
train,00067676,00067720,false,false,data/cache/features/pretrain/00067676_4ac7638c25.npz,data/cache/features/finetune/train/00067720_056e98e8e2.npz
train,00069544,00069544,true,false,data/cache/features/pretrain/00069544_2534f04abf.npz,data/cache/features/finetune/train/00069544_2534f04abf.npz
train,00045867,00072668,false,false,data/cache/features/pretrain/00045867_90f72691e7.npz,data/cache/features/finetune/train/00072668_15bc77ec39.npz
train,00000003,00074517,false,true,data/cache/features/pretrain/00000003_538dc2ab91.npz,data/cache/features/finetune/train/00074517_b64c9f43b6.npz
train,00081215,00081215,true,false,data/cache/features/pretrain/00081215_64115c3fd5.npz,data/cache/features/finetune/train/00081215_64115c3fd5.npz
train,00032180,00082989,false,false,data/cache/features/pretrain/00032180_140a6a741e.npz,data/cache/features/finetune/train/00082989_9524440935.npz
train,00081888,00084036,false,false,data/cache/features/pretrain/00081888_0992685395.npz,data/cache/features/finetune/train/00084036_bb7dffb1bf.npz
train,00085216,00086909,false,true,data/cache/features/pretrain/00085216_4c749db225.npz,data/cache/features/finetune/train/00086909_a48f8ef085.npz
train,00091654,00091654,true,false,data/cache/features/pretrain/00091654_2622198839.npz,data/cache/features/finetune/train/00091654_2622198839.npz
train,00093012,00093012,true,false,data/cache/features/pretrain/00093012_1a1b5a1b73.npz,data/cache/features/finetune/train/00093012_1a1b5a1b73.npz
train,00090129,00095889,false,false,data/cache/features/pretrain/00090129_7ecf7765e0.npz,data/cache/features/finetune/train/00095889_10bce868ef.npz
